"1","……そうね、悩むのは性に合わないわ。\nここは行動あるのみよ。","……Well, what bothers me is not suitable for sex。\nThere's only action here。","……Bem, o que me incomoda não é adequado para sexo。\nSó há ação aqui。"
"2","……ないわね。\nそれは本当に妹になってるじゃない。","It's not ……, is it？\nIt's really becoming a younger sister, isn't it？","Não é ……, é？\nÉ realmente se tornar uma irmã mais nova, não é？"
"3","……まあ、いいけど。","……Well, that's okay。","……Bem, está tudo bem。"
"4","……確か前に、好みのタイプは聞いたわ。\nまだ２年生のとき、うちにフー君が\n泊まっていった勉強会で。","……Certainly ago, I heard about my favorite type。\nWhen I was still in second grade, Fu-kun stayed\nnights at my house At the study group I called","……Certamente atrás, ouvi falar do meu tipo favorito。\nQuando eu ainda estava na segunda série, Fu-kun ficou\nnoites na minha casa No grupo de estudo que ligo"
"5","ううん、すぎたことは考えても無駄よね。\nきっとフー君だって、もう水に流して\nくれてるはずだわ。","No, it's useless to think about things that have gone too far。\nI'm sure Fu-kun is already flushing it into the water and give me\nIt's supposed to be。","Não, é inútil pensar em coisas que foram longe demais。\nTenho certeza de que Fu-kun já está jogando na água e me dá\nEra para ser。"
"6","お兄ちゃん想いって……\nつまりどういうことなのかしら？","What are my feelings for my brother……\nI wonder what does that mean？","Quais são os meus sentimentos pelo meu irmão……\nEu me pergunto o que isso significa？"
"7","お兄ちゃん想いはおいておくとして。\n他の条件なら、私はフー君の好みに\nピッタリのはずだわ。","I'm going to leave my brother's feelings aside。\nFor other conditions, I'm Fu to your liking\nIt's supposed to be perfect。","Vou deixar os sentimentos do meu irmão de lado。\nPara outras condições, Eu sou Fu ao seu gosto\nÉ suposto ser perfeito。"
"8","かといって、何もしないでいたら\n発展どころか後退しちゃうかもしれない。","However, if you don't do anything, it may retreat rather than\ndevelopment。","No entanto, se você não fizer nada, ele pode recuar em vez de\ndesenvolvimento。"
"9","ここはやっぱり、自分の得意分野で\nアプローチするのがいいかしら。","After all, I wonder if it's a good idea to approach\nin my field of expertise。","Afinal, eu me pergunto se é uma boa ideia abordar\nno meu campo de especialização。"
"10","そういう内面じゃなく、外面から考えるなら、\nフー君じゃなくてフータローお兄ちゃんって\n呼ぶとか……。","If you think from the outside, not from the inside, that's not\nFu-kun, but Futaro O-chan Call\nor……。","Se você pensar de fora, não de dentro, isso não é\nFu-kun, mas Futaro O-chan Call\nou……。"
"11","そういえば、あの頃って……。\n私、フー君に色々とひどいこと……。","By the way, those days were……。\nVarious terrible things for me, Fu……。","A propósito, aqueles dias eram……。\nVárias coisas terríveis para mim, Fu……。"
"12","それさえわかれば、あとはこっちのものよ。\n時間はまだあるんだし、１つ屋根の下で\n一緒に生活してるんだし。","If you know that, the rest is over here。\nhours are still there, and\nunder one roof We're living together。","Se você sabe disso, o resto é por aqui。\nhoras ainda estão lá, e\nsob o mesmo teto Estamos morando juntos。"
"13","それよりも……。","It's more than……。","É mais do que……。"
"14","というか、料理上手とか言うくせに\n貧乏舌ってどういうことなのよ。","Or rather, what does\npoverty tongue mean even though you say you're a good cook。","Ou melhor, o que significa\nlíngua de pobreza, mesmo que você diga que é um bom cozinheiro。"
"15","となると問題は、お兄ちゃん想い、なのよね。","Then the problem is my brother's feelings, isn't it？","Então o problema são os sentimentos do meu irmão, não é？"
"16","どう仕掛けたら効果的なのかしら……。","I wonder how to set it up to be effective……。","Gostaria de saber como configurá-lo para ser eficaz……。"
"17","はあ……。\nやっぱりいい方法、思いつかない。","huh,……。\nI can't think of a good way after all。","hein,……。\nAfinal, não consigo pensar em uma boa maneira。"
"18","まあ、フー君の妹になれないのは\nみんな同じだから、除外してもいいはずよ。","Well,\npeople can't be Fu's sister, so you can exclude them。","Bem,\npessoas não podem ser irmãs de Fu, então você pode excluí-las。"
"19","まずは作戦を練らなくちゃ。\nフー君を振り向かせるにはどうすればいいか、\n対策を考えないと。","I have to work out a strategy first。\nWhat should I do to make Fu-kun turn around,\nI have to think about countermeasures。","Eu tenho que elaborar uma estratégia primeiro。\nO que devo fazer para que Fu-kun se vire,\nEu tenho que pensar em contramedidas。"
"20","よし、ここは初心に戻るのがいいわね。\nフー君の好みを考え直してみるのよ。","Okay, it's a good idea to go back to the beginner here。\nLet's rethink Fu-kun's preferences。","Ok, é uma boa ideia voltar para o iniciante aqui。\nVamos repensar as preferências de Fu-kun。"
"21","フー君と無人島に来られるなんて\nこれっきりかもしれないんだから。\n絶対に、このチャンスをものにしないと！","It may be\nthat you can come to an uninhabited island with Fu。\nAbsolutely, I have to take this chance！","Pode ficar\nque você pode chegar a uma ilha desabitada com Fu。\nAbsolutamente, eu tenho que aproveitar essa chance！"
"22","ホント、らいはちゃんまんまじゃない。\nどれだけシスコンなのよ、まったくもう。","Really, it's not Rai Chan Manma。\nHow much is Syscon, completely already。","Realmente, não é Rai Chan Manma。\nQuanto custa o Syscon, completamente já。"
"23","ラベル0","Label 0","Rótulo 0"
"24","一筋縄じゃいかない相手だもの。\n普通のやり方じゃ効果がないわ、きっと。","It's a straightforward opponent。\nThe normal way is ineffective, I'm sure。","É um oponente direto。\nO caminho normal é ineficaz, tenho certeza。"
"25","二乃","Nino","Nino"
"26","妹として影から支えるような子？\nお兄ちゃんのことをいつも心配してる優しい子？","The kind of child who supports you from the shadows as a younger sister？\nA kind child who always worries about his older brother？","O tipo de criança que te apoia das sombras como irmã mais nova？\nUma criança gentil que sempre se preocupa com seu irmão mais velho？"
"27","嫌、嫌よ！\nそんなの絶対に嫌だわ！","Disgusting, disgusting！\nI absolutely don't like that！","Nojento, nojento！\nEu absolutamente não gosto disso！"
"28","決めた。\nそろそろお昼の時間だし……。","I decided\nIt's about time for lunch……。","Eu decidi\nJá era hora do almoço……。"
"29","確か、あのとき言ってたのは――\nいつも元気で、料理上手で、お兄ちゃん想い。","Certainly, what I was saying at that time —\nI'm always energetic, good at cooking, and I have feelings for my older brother。","Certamente, o que eu estava dizendo naquela época —\nEstou sempre enérgico, bom em cozinhar, e tenho sentimentos pelo meu irmão mais velho。"
"30","腕によりをかけて作ってあげるわ。\n私の本気を見てよね、フー君！","I'll make it for you by playing it on your arm。\nLook at my seriousness, hu-kun！","Eu vou fazer isso para você jogando no seu braço。\nOlhe para a minha seriedade, hu-kun！"
