"1","――三玖、確保よ！","――Mitsui, secure it！","――Mitsui, proteja-o！"
"2","…………。","…………。","…………。"
"3","……っ！","……！","……！"
"4","……べ、勉強を教えてくれたら、\n教えてあげないこともありません。","……be, if you tell me how to study\nThere's nothing I can't tell you。","……ser, se você me disser como estudar\nNão há nada que eu não possa te dizer。"
"5","あ、あああぁぁぁ……！？","Oh, ah ah ah……！？","……！ ？？"
"6","いや、特にないが。","No, not in particular。","Não, não em particular。"
"7","ええと、その……午後のことなんですが。\n何か予定はありますか？","Well, that was……pm。\nDo you have any plans？","Bem, isso era……\nVocê tem planos？"
"8","おい……どういうことだ、これ。","Hey……What do you mean, this。","Ei……O que você quer dizer com isso。"
"9","お前がやる気にあふれてるのはわかったが……\nそれはそれとして、今日はどうしたんだ？","I know you're full of motivation, but……\nThat's it, what happened today？","Eu sei que você está cheio de motivação, mas……\nÉ isso, o que aconteceu hoje？"
"10","お前は、そこまで\n空気の読めないやつじゃないはずだ。\n明らかにおかしいぞ。","You're not supposed to be a guy who can't read\nair that far。\nIt's obviously funny。","Você não deveria ser um cara que não consegue ler\nar tão longe。\nObviamente, é engraçado。"
"11","きゃっ！？","Kya！？","Kya！？"
"12","ごめんなさい、フー君。\nちょっと五月のこと借りてくわね？","I'm sorry, Fu-kun。\nCan you borrow something about May for a moment？","Sinto muito, Fu-kun。\nVocê pode pegar emprestado algo sobre maio por um momento？"
"13","さあ、どうしますか！？\n今ここで選んでください！","Now what are you going to do！？\nChoose here and now！","Agora, o que você vai fazer！？\nEscolha aqui e agora！"
"14","さっきのことだよ。\n何をして遊ぶのかって相談してる場面で\n勉強をしましょうは、さすがにないだろ？","That's just now。\nIn a scene where I'm discussing what to do to play\nLet's study isn't there, is it？","Isso é só agora。\nEm uma cena em que estou discutindo o que fazer para jogar\nVamos estudar não está lá, não é？"
"15","すぅ……すぅ……。","Sooo……sooo……。","Sooo……sooo……。"
"16","そういうわけだから、\n私たちはしばらく部屋に籠もるわ。\nじゃあ、またあとで。","That's why\nwe're going to stay in the room for a while。\nOkay, see you later。","É por isso que\nvamos ficar no quarto por um tempo。\nAté mais tarde。"
"17","その反応、やっぱりか。\n一体何を考えてるんだ？","Is that reaction after all？\nWhat the hell are you thinking？","Afinal, essa reação é？\nQue diabos você está pensando？"
"18","それは……。","It's……。","É……。"
"19","ちょっとね、緊急家族会議を\nしなくちゃいけなくなったのよ。","Hey, I had to get\nof the emergency family meeting。","Ei, eu tive que me\nda reunião de família de emergência。"
"20","でしたら、勉強を教えていただけないでしょうか？","If so, could you tell me how to study？","Se sim, você poderia me dizer como estudar？"
"21","どうした、とは？","What's wrong with you？","O que há de errado com você？"
"22","なんだよ、その交換条件。","What are the exchange conditions","Quais são as condições de troca"
"23","は？","What is？","O que é？"
"24","ひょっとして、だが。\n節度がどうとか、俺に言ってたことと\n関係があるのか？","Probably, but。\nrelationship with what you said to me about\nmoderation Is there？","Provavelmente, mas。\nrelação com o que você me disse sobre\nmoderação Existe？"
"25","またその話か。\nいつになくやる気だな。","Is that story again？\nI'm never motivated。","Essa história é de novo？\nNunca estou motivado。"
"26","らいは","Raiha","Raiha"
