"1","…………。","…………。","…………。"
"2","……すまん。","……I'm sorry。","……Desculpa。"
"3","あからさまに怪しい。","It's outright suspicious。","É totalmente suspeito。"
"4","あの、本当にやれというのですか？","Um, do you really want to do it？","Hum, você realmente quer fazer isso？"
"5","い、いえ別になにも！　なにもありませんよ！","No, no, nothing else！ There's nothing there！","Não, não, nada mais！ Não há nada lá！"
"6","いや、しかしだな、\n本当に太っているようには見えないぞ？\n多少太っていても気にする必要はないだろ。","No, but that's right,\ndoesn't really look fat, right？\nYou don't have to worry about being a little fat, right？","Não, mas isso mesmo,\nrealmente não parece gordo, certo？\nVocê não precisa se preocupar em ser um pouco gordo, certo？"
"7","いや別にそんなことはないだろ。\n見た目には変わってないぞ\n実に健康的でいいじゃないかはははは。","No, that's not the case, is it？\nIt hasn't changed in appearance\nIt's really healthy Isn't it okay hahaha","Não, esse não é o caso, é？\nNão mudou na aparência\nÉ muito saudável Não está tudo bem hahaha"
"8","ううううう～！","Uuuuuuuuuu~！","Uuuuuuuuuuuu~！"
"9","うっ……。","Ugh……","Ugh……"
"10","え？","Eh？","Eh？"
"11","おいおい、それで本気なのか？\nサボって筋力が落ちているようだな！","Hey hey, are you serious about that？\nIt seems that skipping is losing muscle strength！","Ei, ei, você está falando sério sobre isso？\nParece que pular é perder força muscular！"
"12","お！　いいぞいいぞ少し上がってきた！\nその意気だっ！","Oh！ That's good, it's going up a bit！\nThat's the spirit！","Ah！ Isso é bom, está subindo um pouco！\nEsse é o espírito！"
"13","きゃあ！？\nう、うう、上杉君！？","Oh yeah！？\nWow, uh, Uesugi-kun！","Ah, sim！？\nUau, uh, Uesugi-kun！"
"14","ここでの生活じゃ、１つの小さな問題が\n命に関わることに発展する可能性だってあるんだ。","In life here, one small problem could develop into\nlife-threatening。","Na vida aqui, um pequeno problema pode evoluir para\nrisco de vida。"
"15","そう言ってサボる気か？\n怠慢は許せん！","Are you skipping by saying that？\nI can't tolerate negligence！","Você está pulando dizendo isso？\nNão posso tolerar negligência！"
"16","それよりダメってなんだ？\n何か問題が起きたのか？","What's worse than that？\nDid something go wrong？","O que é pior do que isso？\nAlgo deu errado？"
"17","そんなに連呼しないでくださいっ！","Please don't make so many consecutive calls！","Por favor, não faça tantas chamadas consecutivas！"
"18","そんなに驚くことないだろ、\n普通に声をかけただけなのに。","It's not that surprising, even though I just called out to\nnormally。","Não é tão surpreendente, mesmo que eu tenha chamado para\nnormalmente。"
"19","つまりサボっているわけか。","In other words, are they skipping？","Em outras palavras, eles estão pulando？"
"20","では、始めます。","Now, let's get started。","Agora, vamos começar。"
"21","で？　日課の運動って何をやるんだ？","In？ What do you do in your daily routine of exercise？","Em？ O que você faz em sua rotina diária de exercícios？"
"22","とにかくですね、島に来てから\n日課の運動をあまりしていないので\n心配になったんです。","\n, since I came to the island, I haven't done much exercise in my daily routine, so\nwas worried about one。","\n, desde que vim para a ilha, não tenho feito muito exercício na minha rotina diária, por isso\npreocupado com um。"
"23","どうしてあなたが仕切っているんですか。","Why are you partitioning it？","Por que você está particionando？"
"24","ぬうううう～！","Nuuuuuuuuuuu","Nuuuuuuuuuuu"
"25","はあ……。","huh,……。","hein,……。"
"26","はあ……。\nやっぱりこのままじゃダメです……。","huh,……。\nAfter all, it's not good to leave it like this……。","hein,……。\nAfinal, não é bom deixar assim……。"
"27","はあ……。\n本当にあなたという人は……。","huh,……。\nThe person who is really you is……。","hein,……。\nA pessoa que realmente é você é……。"
"28","ふうううう……！","Fuuuu……！","Fuuuu……！"
"29","ふぬううう～！","Huuuuuuuuuu~！","Huuuuuuuuuuu~！"
