"1","ああ、確かに……。","Oh, certainly……。","Ah, com certeza……。"
"2","あいつは、なんでも美味そうに食うからな。","That's because he eats anything delicious。","Isso porque ele come qualquer coisa deliciosa。"
"3","あるいは、清水の舞台から飛び降りる決意をもって\n注文するメニューなんだ！！","Or, it's a menu where you order\nwith the determination to jump off the stage of Shimizu！","Ou, é um menu onde você pede\ncom a determinação de pular do palco do Shimizu！"
"4","う……すまん……。","Wow……sorry……。","Uau……desculpe……。"
"5","ええー……。","Eh,……。","Eh,……。"
"6","お兄ちゃん、それ答えになってないよ？","Big brother, isn't that the answer？","Grande irmão, não é essa a resposta？"
"7","お兄ちゃんもよく言ってるよ？\n勉強は基礎が大事だって。","My brother often says it too, isn't it？\nThe basics are important in studying。","Meu irmão sempre diz isso também, não é？\nO básico é importante no estudo。"
"8","これだけ人数がいると、確かに手間だな。","If there are so many people, it's certainly a hassle。","Se há tantas pessoas, certamente é um aborrecimento。"
"9","じゃ、いつものように下ごしらえを手伝って。\nさすがにこの人数じゃ、手分けしないと\nやってられないもの。","Well, help me with the preparation as usual。\nAs expected, this number of people must be divided into\nSomething that can't be done。","Bem, ajude-me com a preparação, como de costume。\nComo esperado, esse número de pessoas deve ser dividido em\nAlgo que não pode ser feito。"
"10","じゃあ、最近食べたもので\n一番美味しかったのってなに？","So what was\nthe most delicious thing I ate recently？","Então, qual foi a coisa mais deliciosa que\nrecentemente？"
"11","そういえば、フー君はどんなものが好きなの？","Speaking of which, what kind of things does Fu-kun like？","Falando nisso, de que tipo de coisas Fu-kun gosta？"
"12","そうなのよねぇ。","That's right, isn't it？","Está certo, não é？"
"13","そう言われても……うーん……。","Even if you say so,……hmm……。","Mesmo se você disser,……hmm……。"
"14","でも手は抜けないわ。\n下ごしらえをちゃんとしないと味が変わるし。","But I can't get out of my hands。\nIf you don't prepare properly, the taste will change。","Mas eu não consigo sair das minhas mãos。\nSe você não se preparar adequadamente, o sabor mudará。"
"15","どうかしたのか？","What's wrong with you？","O que há de errado com você？"
"16","どれも美味しいって言っても\n特にこれが好きってもの、あるでしょ？","Even if you say that they are all\n, you especially like this, right？","Mesmo se você disser que todos são\n, você gosta especialmente disso, certo？"
"17","なんだその顔は！\n俺にとっては、盆と正月がいっぺんに来たくらいの\nめでたさなんだぞ！","What is that face！\nFor me, Bon Festival and New Year came all at once\nThat's a blessing！","O que é esse rosto！\nPara mim, o Bon Festival e o Ano Novo vieram de uma só vez\nIsso é uma bênção！"
"18","はあ、胃袋を掴む作戦はやっぱりダメそう。","Oh, the strategy to grab the stomach seems useless after all。","Oh, a estratégia de agarrar o estômago parece inútil, afinal。"
"19","へえ、そうなのか。","Oh, is that so？","Oh, é isso mesmo？"
"20","まあ、五月みたいに、\n食べっぷりを見てると\nどうでもよくなっちゃうこともあるわよ？","Well, like in May, when I look at\neating a lot,\nThere are times when it doesn't matter what it gets better, isn't it？","Bem, como em maio, quando eu olho para\ncomendo muito,\nHá momentos em que não importa o que fica melhor, não é？"
"21","らいは","Raiha","Raiha"
"22","らいはの料理はなんでも美味いぞ！","Any dish at Raiha is delicious！","Qualquer prato no Raiha é delicioso！"
"23","わ、わかったわよ。","Wow, I got it。","Uau, eu entendi。"
"24","わかればよろしい。","It would be nice if I understood it。","Seria bom se eu entendesse。"
"25","んー？\nなんでも好き嫌いなく食べるのも\n考えものだなって思っただけよ。","Hmm？\nEating anything without being picky or disliking is also\nidea I just thought it was。","Hmm？\nComer qualquer coisa sem ser exigente ou não gostar também é\nideia que eu pensei que era。"
"26","中","midst","meio"
"27","二乃","Nino","Nino"
"28","出右","Izu","Izu"
"29","出左","Izusa","Izusa"
"30","出左速","Dezasai","Dezasai"
"31","前","previous","anterior"
"32","右","right","certo"
"33","右外","Right outside","Do lado de fora"
"34","左","left","esquerdo"
"35","手前","foreground","Primeiro plano"
"36","最近だと、焼肉定食を\n焼肉抜きにしないで食ったときの肉だな。","Recently, it's meat when yakiniku teishoku is eaten without\nyakiniku。","Recentemente, é carne quando yakiniku teishoku é comido sem\nyakiniku。"
"37","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"38","目むくれ:口むくれ:頬むくれ","Swollen eyes: swollen mouth: swollen cheeks","Olhos inchados: boca inchada: bochechas inchadas"
"39","目キョトン:口キョトン:頬無し","Eyes Kyoton: Mouth Kyoton: No cheeks","Olhos Kyoton: Boca Kyoton: Sem bochechas"
"40","目困惑:口困惑:頬無し","Eyes Puzzled: Mouth Puzzles: No Cheeks","Olhos intrigados: quebra-cabeças de boca: sem bochechas"
"41","目微笑:口微笑:頬無し","Eyes Smiling: Mouth Smiling: No Cheeks","Olhos sorrindo: boca sorrindo: sem bochechas"
"42","目怒り:口怒り:頬無し","Eye anger: mouth rage: no cheek","Raiva ocular: raiva na boca: sem bochecha"
"43","目無表情:口無表情:頬無し","Eyes Expressionless: Mouth Expressionless: No Cheeks","Olhos sem expressão: boca sem expressão: sem bochechas"
"44","目笑顔:口笑顔:頬無し","Eyes Smile: Mouth Smile: No Cheeks","Sorriso de olhos: sorriso na boca: sem bochechas"
"45","目笑顔:口笑顔:頬笑顔","Eyes Smile: Mouth Smile: Cheek Smile","Sorriso de olhos: sorriso na boca: sorriso na bochecha"
"46","目苦笑:口苦笑:頬無し","A bitter smile: a bitter mouth smile: no cheeks","Um sorriso amargo: um sorriso amargo na boca: sem bochechas"
"47","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"48","風太郎","Futaro","Futaro"
"49","食べるだけの人は、\n下ごしらえに時間がかかるんだって\nなかなかわかってくれないよねー。","People who only eat\nsay it takes time to prepare\nIt's not easy for me to understand。","Pessoas que só comem\ndizem que leva tempo para preparar\nNão é fácil para mim entender。"
