"1","い、いつもなんて大げさです！","Oh, how exaggerated it is all the time！","Oh, quão exagerado é o tempo todo！"
"2","うっ……。","Ugh……","Ugh……"
"3","うん、ふんわりとして美味しいです！","Yeah, it's fluffy and delicious！","Sim, é fofo e delicioso！"
"4","もぐもぐ……。\n確かに、これならいくらでも食べられそう。","Mogumogu……。\nCertainly, you can eat as much as you like。","Mogumogu……。\nCertamente, você pode comer o quanto quiser。"
"5","ラベル0","Label 0","Rótulo 0"
"6","三玖","Sankaku","Sankaku"
"7","三玖がそんなことを言うとは珍しいな。\n五月はいつも言ってるが。","It's unusual for Miku to say such a thing。\nI always say May","É incomum para Miku dizer uma coisa dessas。\nEu sempre digo maio"
"8","五月","May","Maio"
"9","今日のご飯、おにぎりなんだ。","Today's rice balls are rice balls。","Os bolinhos de arroz de hoje são bolinhos de arroz。"
"10","出右","Izu","Izu"
"11","出左","Izusa","Izusa"
"12","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"13","目困惑:口困惑:頬無し:汗無し","Eye Puzzles: Mouth Puzzles: No Cheeks: No Sweat","Quebra-cabeças de olhos: quebra-cabeças de boca: sem bochechas: sem suor"
"14","目微笑:口微笑:頬無し","Eyes Smiling: Mouth Smiling: No Cheeks","Olhos sorrindo: boca sorrindo: sem bochechas"
"15","目笑顔:口笑顔:頬無し:汗無し","Eyes Smile: Mouth Smile: No Cheeks: No Sweat","Sorriso de olhos: sorriso na boca: sem bochechas: sem suor"
"16","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"17","目通常:口通常:頬無し:汗無し","Eyes Normal: Mouth Normal: No Cheeks: No Sweat","Olhos normais: boca normal: sem bochechas: sem suor"
"18","説得力がない。\nお皿に山盛りのおにぎりを確保してるのに。","It's not convincing。\nEven though I have a heap of rice balls on my plate。","Não é convincente。\nMesmo que eu tenha um monte de bolinhos de arroz no meu prato。"
"19","風太郎","Futaro","Futaro"
