"1","……ん？　んんんん！？\nな、なんだこりゃ！？","……huh？ Hmm！？\nWhat is this！？","……hein？ Hmm！？\nO que é isso！？"
"2","……アルバム？\nと言うことは、もしかして。","……album？ Maybe\nis。","……álbum？ Talvez\nseja。"
"3","あ、ああ、そうしてくれると……ありがたいんだが。","Oh, oh, I'm thankful……if you do that But","Oh, oh,…ficaria…se você fizesse isso。"
"4","あ、ああ、そうだったな。\nつい口に出ちまった。","Oh, yeah, that's right。\nI just came up in my mouth。","Ah, sim, está certo。\nAcabei de subir na minha boca。"
"5","ああ、すまん、遅れたか？","Oh, sorry, are you late？","Oh, desculpe, você está atrasado？"
"6","ああ。\nここには間違いなく、色あせない想い出が\nしっかりと刻まれているな。","Oh\nThere is no doubt that there are memories here that never fade\nIt's engraved firmly。","Oh\nNão há dúvida de que existem memórias aqui que nunca desaparecem\nEstá gravado com firmeza。"
"7","あはは、本当だよね。\nちなみに、こっちの二乃もなかなかだよ？","Aha, that's true, isn't it？\nBy the way, this Nino is also pretty good, isn't it？","Aha, isso é verdade, não é？\nA propósito, esse Nino também é muito bom, não é？"
"8","いや、島で充分に遊んだから\n別にもったいなくもないと思うが。","No, I think it's a waste to play\non the island。","Não, acho um desperdício jogar\nna ilha。"
"9","ううん、私もいま来たところ。\n気にしなくていいよ。","No, I'm here too。\nYou don't have to worry about it。","Não, estou aqui também。\nVocê não precisa se preocupar com isso。"
"10","うわ、予想通りすぎる……。\nせっかくの夏休みなのに、もったいないなぁ。","Wow, it's too much……as expected。\nEven though it's a big summer vacation, it's a waste。","Uau, é muito……como esperado。\nMesmo que sejam grandes férias de verão, é um desperdício。"
"11","うん、これなら、いつ見返したとしても、\n島でのことが思い浮かんで、懐かしさと笑いが\nあふれてきそうだよね。","Yeah, in this case, no matter when I look back,\ncan think of\nislands, and it seems that nostalgia and laughter will overflow。","Sim, neste caso, não importa quando eu olhe para trás,\npensar em\nilhas, e parece que a nostalgia e as risadas vão transbordar。"
"12","ええ～？　感想そこなの？\nもっと、みんな生き生きといい表情してる、とか\nそういう方向で行こうよ。","Yeah ~？ Are there any impressions？\nmore, everyone has a lively and nice expression, or\nLet's go in that direction。","Sim ~？ Há alguma impressão？\nmais, todo mundo tem uma expressão animada e agradável, ou\nVamos nessa direção。"
"13","おお、どれもよく撮れてる。\n最近のスマホは本当に性能がいいんだな。","Oh, all of them are well photographed。\nSmartphones these days have really good performance, aren't they？","Oh, todos eles são bem fotografados。\nOs smartphones hoje em dia têm um desempenho muito bom, não são？"
"14","おっと、見ちゃう？","Oops, would you like to watch it？","Opa, você gostaria de assistir？"
"15","お前も、始業式直前になって焦る前に、\nちょっとずつでも終わらせておけよ？","You, too, should you finish\nlittle by little before the opening ceremony and before you get impatient？","Você também deve terminar\npouco a pouco antes da cerimônia de abertura e antes de ficar impaciente？"
"16","くくっ！\nこれはいいな、まさにありのままだ。","Come on！\nThis is good, just the way it is。","Vamos lá！\nIsso é bom, do jeito que está。"
"17","ぐっ……。\nそ、それは……だが……。","Gosh……\nThat's……but……。","Puxa……\nIsso é……mas……。"
"18","さて、いつだったかな～？\nわかんないな～。","Well, when was it ~？\nI don't know","Bem, quando foi ~？\nEu não sei"
"19","さて、それでは、今日来てもらった本題に\n入りたいと思いまーす。","Well then, I would like to enter\nin the main subject that I had you come to today。","Bem, então, eu gostaria de inserir\nno assunto principal para o qual você veio hoje。"
"20","しかし、いつの間に撮ったのかっていう写真も\n結構あるな。","However, there are\na few pictures of when I took it。","No entanto\nexistem algumas fotos de quando eu tirei。"
"21","しかし、確かにボリュームがあるな。\n最後はどんな写真にしたんだ？","However, it certainly has a lot of volume。\nWhat kind of photo did you make at the end？","No entanto, certamente tem muito volume。\nQue tipo de foto você tirou no final？"
"22","じゃーん、これなーんだ？","Well, what is this？","Bem, o que é isso？"
"23","そう、完成したの。\nみんなの想い出のアルバム。","That's right, it was completed。\nAn album of memories of everyone。","Isso mesmo, foi concluído。\nUm álbum de memórias de todos。"
"24","そういう、心配性で面倒見がいいところは\n相変わらずだね。","That kind of place where worrying is good to take care of is\nas usual, isn't it？","Esse tipo de lugar onde se preocupar é bom para cuidar é\ncomo de costume, não é？"
"25","そうか！\nさっそく見せてもらっていいか？","That's right！\nCan I have them show me right away？","Está certo！\nPosso fazer com que eles me mostrem imediatamente？"
"26","それはズルくない？\n二乃や四葉はありままの写真を載せてるのに。","Isn't that cheating？\nEven though I'm posting photos of Nino and Yotsuba as they are。","Isso não é trapaça？\nMesmo que eu esteja postando fotos de Nino e Yotsuba como estão。"
"27","たまってる課題を片付けてた。","I was cleaning up my accumulated assignments。","Eu estava limpando minhas tarefas acumuladas。"
"28","だから……私だけのフータロー君だよ。","That's why……I'm the only Hootaro。","É por isso que……sou o único Hootaro。"
"29","なんでしょう？","What is it, isn't it？","O que é isso, não é？"
"30","なんでアルバムの最後が俺の寝顔なんだよ！？\nというか、いつ撮った！","Why is my sleeping face at the end of the album！？\n, or rather, when was it taken！","Por que meu rosto adormecido está no final do álbum！？\n, ou melhor, quando foi tirada！"
"31","なーんて、ね。","Hmm, right？","Hmm, certo？"
