"1","……ということは。","What does ……mean。","O que significa ……。"
"2","ああー、これはもう仕方ないか。","Oh, can't this be helped anymore？","Oh, isso não pode mais ser ajudado？"
"3","あはは、できたと思ったんですけど。","Aha, I thought it was done。","Aha, eu pensei que estava feito。"
"4","あれ、ダメだった？\nフータロー君の合格ラインが高すぎたんじゃない？","Was that useless？\nIsn't Futaro's passing line too high？","Isso foi inútil？\nA linha de passes de Futaro não é muito alta？"
"5","うう……。\n太陽がまぶしい……くらくらする……。","Ugh……。\nThe sun is dazzling……Swallow……。","Ugh……。\nO sol é deslumbrante……Andorinha……。"
"6","うう……らいはちゃんが天使に見えます……。","Wow……Raiha looks like an angel……。","Uau……Raiha parece um anjo……。"
"7","え、嘘でしょ？","Eh, it's a lie, isn't it？","Eh, é uma mentira, não é？"
"8","おい、お前らなにしてんだ。\n早く船に乗れ。","Hey, what are you doing\nGet on the boat quickly","Ei, o que você está fazendo\nEntre no barco rapidamente"
"9","お前ら……\nあれだけ言っておいて！　この点数か！！","You guys……\nJust say that！ Is it this score！！","Vocês……\nBasta dizer isso！ É essa pontuação！！"
"10","これもこれで、きっといつか\nいい想い出になりますよ。","This will surely be a good memory for\nsomeday。","Esta será certamente uma boa memória para\nalgum dia。"
"11","ご飯作りは任せて！\n元気になれるような美味しいもの、たくさん作るよ。","Leave the rice making to me！\nI make a lot of delicious things that will make you energetic。","Deixe a fabricação de arroz para mim！\nEu faço muitas coisas deliciosas que vão deixar você com energia。"
"12","そうね。\n言い出したのはこっちだもの。","That's right。\nThis is what I started saying。","Está certo。\nIsso é o que eu comecei a dizer。"
"13","はあ……。\nせっかくの別荘でのバカンスだったのに。","huh,……。\nEven though it was a vacation at a great villa。","hein,……。\nMesmo que fossem férias em uma ótima vila。"
"14","はいはい。\nじゃあ、いつもの生活に戻るとしますか。","Yes, yes。\nSo, do you want to go back to your usual life？","Sim, sim。\nEntão, você quer voltar para sua vida normal？"
"15","もうちょっと、いい想い出作りたかったな。","I wanted to make a little more good memories。","Eu queria ter um pouco mais de boas lembranças。"
"16","らいは","Raiha","Raiha"
"17","らいはは元々天使だけどな！","Raiha was originally an angel！","Raiha era originalmente um anjo！"
"18","ラベル0","Label 0","Rótulo 0"
"19","一花","Ichika","Ichika"
"20","三玖","Sankaku","Sankaku"
"21","上杉さんやらいはちゃんと過ごせて\n楽しかったもんね。","Uesugi-san was able to spend my time properly and it was\nfun, wasn't it？","Uesugi-san foi capaz de gastar meu tempo corretamente e foi\ndivertido, não foi？"
"22","中","midst","meio"
