"1","…………。","…………。","…………。"
"2","……こうして寝てると\n普通の男の子の寝顔なんだけどなあ。","……When I'm asleep like this\nIt's the sleeping face of an ordinary boy","……Quando estou dormindo assim\nÉ o rosto adormecido de um garoto comum"
"3","……そうじゃないか。\nフー君、頑張りすぎてるのよ。\nもう少し力を抜いてもいいのに。","……isn't that so？\nFu-kun, you're trying too hard。\nI wish I could pull out a little more power。","……não é assim？\nFu-kun, você está se esforçando demais。\nEu gostaria de poder tirar um pouco mais de energia。"
"4","ああもう、なんでこんなに悩んでるの私！\nフー君には正々堂々アプローチするって決めたのに。","Oh no, why am I so worried about it！\nI decided to approach Fu-kun in a fair and dignified manner。","Ah não, por que estou tão preocupado com isso！\nDecidi abordar Fu-kun de maneira justa e digna。"
"5","あっ、そうだわ忘れてた。\n今日は三玖が朝食を作るって言ってたから\n手伝ってあげないと！","Oh, that's right, I forgot。\nBecause Miku said he was going to make breakfast today\nI have to help them！","Oh, está certo, eu esqueci。\nPorque Miku disse que ia fazer o café da manhã hoje\nEu tenho que ajudá-los！"
"6","いや、はっきり聞き取れたわけじゃない。\n聞かれて困るようなことでも言ってたのか？","No, I wasn't able to hear it clearly。\nDid you say things that would make you uncomfortable being asked？","Não, eu não consegui ouvir isso claramente。\nVocê disse coisas que o deixariam desconfortável ao ser perguntado？"
"7","え、ええと、その……どこから聞いてたわけ？","Well, uh, that……where did you hear from？","Bem, uh, esse……onde você ouviu falar？"
"8","えっ？\nそ、それはぁ……。","Eh？\n, that's……。","Eh？\nBem, isso é……。"
"9","お、おはようフー君！\nごめんなさい、起こしちゃったかしら？","Oh, good morning Fu！\nI'm sorry, did I wake you up？","Oh, bom dia Fu！\nMe desculpe, eu te acordei？"
"10","ぐう……ううん……。\nむにゃむにゃ……。","Gu……yeah……。\nMummu Nya……。","Gu……sim……。\nMummu Nya……。"
"11","こ、困ることなんてないわよ！\n私はただ起こしに来ただけなんだもの！","There's nothing wrong with this！\nI just came to wake you up！","Não há nada de errado com isso！\nEu só vim para te acordar！"
"12","じゃ、なにするつもりだったんだ。\n困らないなら正直に言えるよな？","Well, what were you going to do\nIf you're not in trouble, can you honestly say it？","Bem, o que você ia fazer\nSe você não está com problemas, você pode dizer isso honestamente？"
"13","その様子……\nさてはまた落書きするつもりだったな？","That's how it looks……\nWell, you were going to graffiti again, right？","É assim que parece……\nBem, você estava indo para o grafite de novo, certo？"
