"1","ゲーム開始","Start the game","Comece o jogo"
"2","スケジュール","schedules","programas"
"3","スケジュール作成:ダミー","Scheduling: Dummies","Agendamento: Leigos"
"4","スケジュール作成:全員リタイア","Schedule Creation: Retire Everyone","Criação de cronograma: aposentar todos"
"5","スケジュール作成処理","Schedule creation process","Processo de criação de cronograma"
"6","テスト","tests","testes"
"7","処理開始","Start processing","Comece o processamento"
"8","料理","dishes","pratos"
"9","料理イベント","Cooking events","Eventos culinários"
"10","料理メニュー選択","Select food menu","Selecione o menu de comida"
"11","料理メニュー選択:なし","Select food menu: None","Selecione o menu de comida: Nenhum"
"12","料理メニュー選択:まあまあ","Select food menu: So-so","Selecione o menu de comida: Mais ou menos"
"13","料理メニュー選択:失敗","Select food menu: Failed","Selecione o menu de comida: Falha"
"14","料理メニュー選択:成功","Food menu selection: Success","Seleção de menu de comida: sucesso"
"15","料理完成","Cooking is complete","Cozinhar está completo"
"16","料理当番選択","Select cooking duty","Selecione o dever de cozinhar"
"17","料理当番選択:ダミー","Choice on duty: Dummy","Escolha de plantão: manequim"
"18","料理結果","Cooking results","Resultados de culinária"
"19","終端ループ","Termination loop","loop de terminação"
"20","育成","upbringing","educação"
"21","育成イベント","Fostering events","Promover eventos"
"22","育成実行","Execute nurturing","Executar nutrição"
"23","育成実行:ダミー","Nurture Execution: Dummy","Nurture Execution: Manequim"
"24","育成実行処理","Nurture execution process","Estimular o processo de execução"
"25","育成結果","Nurturing results","Resultados estimulantes"
"26","育成結果:ダミー","Nurturing Results: Dummy","Resultados nutritivos: manequim"
"27","食事","meals","refeições"
"28","食事中:ダミー","Eating: Dummies","Comer: Dummies"
