"1","…………。","…………。","…………。"
"2","ありゃ、バレちゃった。\n私の演技を見破るとは、やりますなぁ。","Well, I got caught。\nI'm going to see through my performance, isn't it？","Bem, eu fui pego。\nEu vou ver através do meu desempenho, não é？"
"3","いや、別にそんなことしなくてもいい。","No, you don't have to do that。","Não, você não precisa fazer isso。"
"4","うっ……？","Ugh……？","Ugh……？"
"5","うわ、首の周りがパンパンになってる。\nちゃんと自分でも首を回したりしたほうがいいよ？","Wow, the area around my neck is pounded。\nShould I turn my head properly？","Uau, a área ao redor do meu pescoço está batida。\nDevo virar a cabeça corretamente？"
"6","うーん、これは結構、難易度高いなぁ。\nどうしようかなぁ。","Hmm, this is quite difficult。\nI wonder what to do","Hmm, isso é bem difícil。\nEu me pergunto o que fazer"
"7","おい、一花。\n今ので確信したが、お前わざとくすぐってるだろ！","Hey, Ichika\nI'm sure now, but you're tickling on purpose！","Ei, Ichika\nTenho certeza agora, mas você está fazendo cócegas de propósito！"
"8","おやぁ？\nお客さん、かなりこってますねぇ？","Oh hey？\nCustomers are pretty heavy, aren't they？","Oh, ei？\nOs clientes são muito pesados, não são？"
"9","これくらいなら問題ない。\n今いるメンバーでリーダーに適してるのは俺だろ。\n適材適所だ。","If it's about this, there's no problem。\nI'm the current member who is suitable for a leader, isn't it？\nThe right person is in the right place。","Se for sobre isso, não há problema。\nSou o membro atual que é adequado para um líder, não é？\nA pessoa certa está no lugar certo。"
"10","その小芝居必要か？","Do we need that small play？","Precisamos dessa pequena jogada？"
"11","そんなに警戒しなくても。\n肩を揉んであげるだけだよ。","You don't have to be so alert。\nI'm just going to rub my shoulders。","Você não precisa estar tão alerta。\nEu só vou esfregar meus ombros。"
"12","そんな君の疲れをお姉さんが\n癒やして差し上げましょう。\nさあ、座って座って。","Let my sister heal your tiredness by\n。\nCome on, sit down, sit down。","Deixe minha irmã curar seu cansaço por\n。\nVamos, sente-se, sente-se。"
"13","でも、フータロー君の肩や首がこってるのは本当。\n寝る前に軽くストレッチしたほうがいいよ。","But it's true that Futaro's shoulders and neck are stiff。\nIt's better to stretch lightly before going to bed。","Mas é verdade que os ombros e o pescoço de Futaro são rígidos。\nÉ melhor esticar levemente antes de ir para a cama。"
"14","どうぞー。","Go ahead","Vá em frente"
"15","は？　なにする気だ？","What is？ What are you going to do？","O que é？ O que você vai fazer？"
"16","ふふふ～、フータロー君、\n肩がビクビクしてるけどそんなに気持ちいい？","Hehehehe ~, Futaro-kun,\nMy shoulders are jumpy, but does it feel so good？","Hehehehe ~, Futaro-kun,\nMeus ombros estão nervosos, mas é tão bom？"
"17","ふん、とんだ大根役者め！","Hmm, the actor of Tonda Daikon！","Hmm, o ator de Tonda Daikon！"
"18","まあまあ、サービスしますから\n大人しくしていてくださいな。","Well, I'll serve you\n, please be quiet。","Bem, eu vou te servir\n, por favor, fique quieto。"
"19","や、こんばんは。","Ya, good evening。","Sim, boa noite。"
"20","よければ私が手取り足取り教えてあげよっか？","If you don't mind, should I tell you how to take it home？","Se você não se importa, devo dizer como levar para casa？"
"21","わー、カッコいいなぁ。\n男の子だね、フータロー君は。","Wow, that's cool。\nIt's a boy, Futaro。","Uau, isso é legal。\nÉ um menino, Futaro。"
"22","んー、何かあったわけじゃないんだけど……\nお疲れの君を癒やしてあげようと思って。","Hmm, it's not like something happened, but……\nI thought I'd heal you when you were tired。","Hmmm, nada aconteceu, mas……\nestou tentando curar você que está cansado。"
"23","ラベル0","Label 0","Rótulo 0"
"24","リーダー役を君にお願いしちゃってるからさ。\nそろそろ疲れもたまってるんじゃない？","That's because I'm asking you to play the role of leader。\nIsn't it about time you're getting tired？","Isso é porque eu estou pedindo para você desempenhar o papel de líder。\nNão é hora de você ficar cansado？"
"25","一花","Ichika","Ichika"
"26","一花？　どうかしたのか？","Ichika？ What's wrong with you？","Ichika？ O que há de errado com você？"
"27","中","midst","meio"
"28","出右","Izu","Izu"
"29","出左","Izusa","Izusa"
"30","左","left","esquerdo"
"31","断る！\nったく、お前は……。","I refuse！\nheck, you are……。","baixar！\n, você é……。"
"32","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"33","目キョトン:口キョトン:頬無し","Eyes Kyoton: Mouth Kyoton: No cheeks","Olhos Kyoton: Boca Kyoton: Sem bochechas"
"34","目ニヤリ:口ニヤリ:頬無し","Eyes Grins: Mouth Grins: No Cheeks","Olhos sorrisos: boca sorri: sem bochechas"
"35","目困惑:口困惑:頬無し","Eyes Puzzled: Mouth Puzzles: No Cheeks","Olhos intrigados: quebra-cabeças de boca: sem bochechas"
"36","目微笑:口微笑:頬無し","Eyes Smiling: Mouth Smiling: No Cheeks","Olhos sorrindo: boca sorrindo: sem bochechas"
"37","目怒り:口怒り:頬無し","Eye anger: mouth rage: no cheek","Raiva ocular: raiva na boca: sem bochecha"
"38","目笑顔:口笑顔:頬無し","Eyes Smile: Mouth Smile: No Cheeks","Sorriso de olhos: sorriso na boca: sem bochechas"
"39","目苦笑:口苦笑:頬無し","A bitter smile: a bitter mouth smile: no cheeks","Um sorriso amargo: um sorriso amargo na boca: sem bochechas"
"40","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"41","立ち上がり","Rise up","Levante-se"
"42","立ち上がり遅","Rise up late","Levante-se tarde"
"43","遠慮しなくていいって。\nでは始めますよ～。","You don't have to hold back。 I'll start with\n~。","Você não precisa se conter。 Vou começar com\n~。"
"44","風太郎","Futaro","Futaro"
"45","（……まあ、あいつらもよくやってくれてるが）","（……Well, they are doing well）","（……Bem, eles estão indo bem）"
"46","（ぐっ……！　くすぐったい！\n　一花の指が首筋を……耐えろ俺、耐えるんだ！）","（Gut……！ Tickle！\nOne flower's finger bears the neck……Endure me, endure！）","（Gut……！ Faça cócegas！\nO dedo de uma flor carrega o pescoço……Aguente-me, aguente！）"
"47","（なんだこれ、やけにくすぐったい！？）","（What is this awfully tickling！？）","（O que é isso fazendo cócegas！？）"
"48","（一花に言うべきか？\n　いやしかし、こいつは善意でやってくれている。\n　それに対して文句を言うのは……）","（Should I tell Ichika？\nNo, but this guy is doing it with good intentions。\nWhat complains about it is……）","（Devo contar a Ichika？\nNão, mas esse cara está fazendo isso com boas intenções。\nO que reclama disso é……）"
"49","（今日もよく働いたな。\n　戻ったら臨時ボーナスを要求しても\n　怒られないだろ、これは）","（You worked a lot today too。\nEven if you ask for an extraordinary bonus when you return, you will be offended by\n（That's not it, this is it）","（Você trabalhou muito hoje também。\nMesmo se você pedir um bônus extraordinário ao retornar, você ficará ofendido por\n（não é isso, é isso）"
"50","（男は関係ないだろ……）","（A man doesn't matter……）","（Um homem não importa……）"
