"1","あ、そうだ、その前に日焼け止め塗らないと。\nねえフータロー、塗ってくれる？","Oh, that's right, I have to apply sunscreen before that。\nHey Futaro, can you paint it for me？","Ah, sim, tenho que colocar protetor solar primeiro。 \nFutaro, você pode aplicá-lo para mim？"
"2","ああいや、こっちも別に文句を言う気はない。","Oh no, I'm not going to complain about it separately either。","Ah, não tenho intenção de reclamar。"
"3","あとでじっくり見て、似合ってるか教えてね？","Can you take a closer look later and tell me if it looks good？","Pode dar uma olhada depois e me dizer se combina com você？"
"4","あの提案、照れ隠しだと思ってたのに。","I thought that proposal was embarrassed。","Achei que essa sugestão era embaraçosa。"
"5","あれ？\nそんな気がしないでもないようなするような？","Is that？\nIt seems like I don't even feel like that？","O que é isso？ \nVocê se sente como se não o fizesse？"
"6","いいですか上杉さん？\nそれだけが無人島の楽しみではありませんよ？","Okay, Mr。 Uesugi？\nThat's not the only fun on a desert island, is it？","Certo, Sr。 Uesugi？ \nEssa não é a única diversão que você pode ter em uma ilha deserta, sabe？"
"7","いえ、そんな。\n先ほども言いましたが、\nあくまで父が所有しているものですから。","No, that's it。\nAs I said earlier,\nis owned by my father It's something I'm doing。","Não, não。 \nComo eu disse antes, \nela é de propriedade apenas de meu pai。"
"8","いや、大丈夫――","No, it's okay","Não, estou bem。。。"
"9","う……。","Wow……","U……。"
"10","うむ、よし。\nちゃんと受験生の自覚はあるようだな。","Um, okay。\nIt seems that there is a proper awareness of prospective students。","Mm, está bem。\nVocê parece estar devidamente informado sobre os exames。"
"11","うん！","Yeah！","Sim！"
"12","えっ、しないんだ。\n他に誰もいないんだし、カッコつけなくていいのに。","Eh, I'm not going to do it。\nThere's no one else, and I don't have to put parentheses on it。","Eh, você não tem。\nNão há mais ninguém aqui, você não precisa ser legal。"
"13","お、おう……。","Oh, oh,……。","Oh, oh……。"
"14","お兄ちゃん？\nおにーちゃーん！","Big brother？\nOni-chan！","Onii？\nOnii-chan！"
"15","お？　言ったね？\nじゃ、そうさせてもらっちゃおうかな。","Oh？ Did I say that？\nWell, let me do that。","Oh？ Você disse isso, não disse？\nEntão eu acho que vou deixar você fazer isso。"
"16","くううう～っ！\nらいはちゃんはなんていい子なんでしょうか！","Wow wow！\nWhat a good girl is Raiha-chan！","Muuuuito！\nQue criança legal Raiha-chan é！"
"17","ここ、無人島で\nうちの別荘しかないからゆっくりできるはずよ。","Here, on an uninhabited island, there are only villas out of\n, so you should be able to relax。","Aqui é uma ilha deserta。\nHá apenas nossa vila, portanto, você deve poder relaxar。"
"18","ここなら静かで集中できそうですし、\n昼と夜の生活にメリハリをつけていきましょう。","It seems quiet and focused here, so let's improve our day and\nlife。","Será mais calmo e concentrado aqui, \ne você terá uma melhor noção da vida diurna e noturna。"
"19","これは……これは現実なのか……。\n俺は……夢を見てるんじゃないか……。","Is this……this real……。\nI'm……Aren't you dreaming……。","Este é。。。。。。 é este verdadeiro……。\nAcho que estou sonhando……。"
"20","ごめん。\nフータローのためとはいえ、\nやっぱり私たちも楽しみにしてたから。","I'm sorry。\nEven though it's for Futaro,\nafter all I We were also looking forward to it。","Desculpe。\nApesar de ser para Futaro, \nainda estávamos ansiosos por isso。"
"21","ごめんなさい、こんなお兄ちゃんで。","I'm sorry, this is such a big brother。","Desculpe, eu sou um irmão tão grande。"
"22","そうだな、定番どころは押さえておくか。","That's right, do you keep track of the classics？","Sim, vamos nos agarrar aos lugares clássicos。"
"23","それで、フータロー君？\nまず何がしたい？\nやっぱりビーチで私たちの水着チェックかな？","So, Mr。 Futaro？\nWhat do you want to do first？\nIs it still our swimsuit check on the beach？","Então, Sr。 Futaro？\nO que você quer fazer primeiro？\nAfinal de contas, você quer verificar nossas roupas de banho na praia？"
"24","そんなっ！\nらいはちゃんが謝る必要ないですよ。","That's it！\nRaiha-chan doesn't need to apologize。","Desculpe！\nRaiha-chan não precisa pedir desculpas。"
"25","ただ、島を個人で所有なんて\n現実にあるんだなと、改めて思っただけだ。","However, I just thought again that it is a\nthat the island is not owned by an individual。","No entanto, possuir a ilha individualmente\nacabei de pensar novamente que é uma realidade。"
"26","ただし、夜は勉強だ。","However, I study at night。","No entanto, eu estudo à noite。"
"27","でも、ちゃんとお礼は言わないと。\n今日はお兄ちゃんと一緒に誘ってくれて\nありがとうございます。","But I have to say thank you properly。\nInvite me with my brother today\nThank you very much","Mas tenho que lhe agradecer apropriadamente。\nPor convidar a mim e ao meu irmão para nos juntarmos a vocês hoje。\nMuito obrigado。"
"28","でもでも、本当にすっごいねぇ！\n南の島の別荘なんて！","But it's really amazing！\nWhat is a villa in Minami no Shima！","Mas é realmente fantástico！\nUma casa de férias em uma ilha do sul！"
"29","というか、お前ら、\nさりげなく自分たちがやりたいことの\nアピールしてるだろ。","Or rather, you guys,\ncasually what we want to do\nIt's appealing, isn't it？","Ou melhor, vocês \nestão casualmente apelando \npara o que querem fazer。"
"30","どうにもできないだろ。","You can't do anything about it, can you？","Você não pode fazer isso。"
"31","な、なんだらいは。","Wow, what is it","Mas o que é isso？"
"32","なんで『やっぱり』だよ、しねぇよそんなこと。","Why is it “yappari”, hey, such a thing。","Por que ""eu sabia"", não estou fazendo isso。"
"33","なんですか、その言い方。\n父にお世話になっている身としては当然でしょう。","What is that way of saying it\nIt's natural for me to be indebted to my father。","O que é essa maneira de dizer？ \nComo alguém que está endividado com meu pai, é natural。"
"34","なんにせよお前の家のものなんだろ？\nそこで謙遜する必要あるか？","Anyway, it's from your house, isn't it？\nIs there a need to be humble there？","Seja o que for, é a sua casa, não é？\nHá necessidade de modéstia aí？"
"35","ね、フー君？","Hey, Fu-kun？","Ei, Fu？"
"36","はっ！？","Huh！？","Ah！？"
