"1","…………。","…………。","…………。"
"2","あ、そうです上杉さん！\n慣れたということは、ここでの生活に\n余裕が出てきたってことですよね？","Oh, that's right, Mr。 Uesugi！\nGetting used to it means that you have\ntime to live here, right？","Ah, isso mesmo, Sr。 Uesugi！\nAcostumar significa que você tem\ntempo para morar aqui, certo？"
"3","あと、お父さんの部屋には服がたくさんあったんだ！","Also, there were a lot of clothes in Dad's room！","Além disso, havia muitas roupas no quarto do papai！"
"4","あはは……。","Aha ha……","Aha tem……"
"5","いいのだと思いますよ。\n安定しているということですから。","I think it's okay。\nbecause it means it's stable。","Acho que está tudo bem。\nporque significa que está estável。"
"6","いやいや地図を作るのは大変だぞ？\n伊能忠敬のことは日本史で勉強しただろ。","No, it's hard to make a map, isn't it？\nYou studied Ino Tadataka in Japanese history, right？","Não, é difícil fazer um mapa, não é？\nVocê estudou Ino Tadataka na história japonesa, certo？"
"7","うん、わかった。","Yeah, I understand。","Sim, eu entendo。"
"8","うん、談話室にはね、\nすっごーく古い本があったよ。","\n, there was a really old book in the common room。","\n, havia um livro muito antigo na sala comunal。"
"9","うーん、なんだよね。\nこの夏も色々お仕事やる予定だったから、\n迷惑かけちゃってるかも。","Hmm, what is it？\nI was planning to do a lot of work this summer, so\nMaybe I'm bothering you。","Hmm, o que é isso？\nEu estava planejando fazer um monte de trabalho neste verão, então\nTalvez eu esteja incomodando você。"
"10","え、じゃない。\n伊能忠敬も思い出せないようでどうする。\n余裕ができたってのなら探検よりも勉強だ！","Eh, that's not it。\nIno Tadataka doesn't seem to be able to remember what to do\nIf you can afford it, it's more studying than exploring！","Eh, não é isso。\nIno Tadataka parece não conseguir se lembrar do que fazer\nSe você puder pagar, é mais estudar do que explorar！"
"11","えっ！？","Eh！？","Eh！？"
"12","え？　何か見つけたの？","Eh？ Did you find anything？","Eh？ Você achou alguma coisa？"
"13","お父さんの部屋は立ち入り禁止だったはず。","Dad's room should have been off limits。","O quarto do papai deveria estar fora dos limites。"
"14","この生活にも慣れてきたわね。\nいいか悪いかは別として。","I'm getting used to this life, too。\nApart from whether it's good or bad。","Também estou me acostumando com essa vida。\nAlém de ser bom ou ruim。"
"15","さて、四葉に五月。\nこれから日本史の特別授業をしてやろう。","Well, May in Yotsuba。\nI'm going to give a special class on Japanese history from now on。","Bem, maio em Yotsuba。\nEu vou dar uma aula especial sobre história japonesa a partir de agora。"
"16","じゃあ次はぱっと出てくるよな？","Then it's coming out quickly next time, isn't it？","Então está saindo rapidamente da próxima vez, não é？"
"17","じゃなくて、\n島の生活に馴染んでていいのかって話よ。","I'm not talking about whether it's okay to get used to the life of\nIsland。","Eu não estou falando sobre se está tudo bem se acostumar com a vida de\nIsland。"
"18","そ、それはー、ほら、ダメって言われると\n入りたくなるものだよね？","That's what makes you want to enter\nwhen you say no good, right？","Isso é o que faz você querer inserir\nquando você diz que não é bom, certo？"
"19","そうそう！\nいやー惜しかったです。\n今ここまで！　ノドまで出かかってました！","Oh yeah！\nNo, it was a pity。\nUp to this point now！ I was going out to the throat！","Ah, sim！\nNão, foi uma pena。\nAté este ponto agora！ Eu estava indo para a garganta！"
"20","そうとも限りませんよ？\n例えば、この別荘だけでも\n探検してみたら発見がありました。","That's not the limit, is it？\nFor example, if you explore this villa alone\nThere was a discovery。","Esse não é o limite, é？\nPor exemplo, se você explorar esta vila sozinho\nHouve uma descoberta。"
"21","そうよね、お店大丈夫かしら？","That's right, is the store okay？","Isso mesmo, a loja está bem？"
