"1","……そ、そうですね。\nせっかくですから行きましょうか。","……That's right。\nIt's a big deal, so let's go？","……Está certo。\nÉ um grande negócio, então vamos lá？"
"2","ああ、ここでなら星がよく見えるからな。\n今日の夜、浜辺に行くぞ！","Oh, you can see the stars well here。\nI'm going to the beach tonight！","Oh, você pode ver bem as estrelas aqui。\nEu vou para a praia hoje à noite！"
"3","ああ、そういうことか。\nちゃんと考えてくれたんだね。","Oh, that's what it is。 You thought\nproperly。","Ah, isso é o que é。 Você pensou\ncorretamente。"
"4","ああ、アパートからじゃ星なんて見えないもんな。\nそんなに綺麗だったのか？","Oh, I can't see the stars from my apartment。\nWas it that beautiful？","Não consigo ver as estrelas do meu apartamento。\nFoi tão lindo？"
"5","ありがと、フー君！","Thank you, Fu-kun！","Obrigado, Fu-kun！"
"6","いや、天体観測は\n開けた場所のほうが適しているんだ。\nここの浜辺ならうってつけだ。","No, astronomical observation is better in a place with\nopen。\nPerfect for the beach here。","Não, a observação astronômica é melhor em um lugar com\naberto。\nPerfeito para a praia aqui。"
"7","うん、お星さまから元気をもらえたのかな？\nドキドキしちゃって、なかなか眠れなかったよ。","Yeah, did you get energy from the stars？\nI was so excited that I couldn't sleep easily。","Sim, você conseguiu energia das estrelas？\nEu estava tão animado que não conseguia dormir facilmente。"
"8","え？　何が？","Eh？ What's going on？","Eh？ O que está acontecendo？"
"9","おお！　なら私は賛成です！","Oh！ Then I agree！","Ah！ Então eu concordo！"
"10","おはよう、お兄ちゃん！\nねえ、聞いて聞いて！","Good morning, big brother！\nHey, listen and listen！","Bom dia, irmão mais velho！\nEi, ouça e ouça！"
"11","お前ら、息抜きがほしいと言ってただろう？\nこれでも一応、配慮したつもりなんだが。","You guys said you wanted to take a break, didn't you？\nI'm going to take this into consideration for the time being。","Vocês disseram que queriam fazer uma pausa, não é？\nVou levar isso em consideração por enquanto。"
"12","くっくっく、甘いな。\nただの星の観測じゃないぞ？\n見るのは流星群だ！","Cuckoo, it's sweet。\nIt's not just a star observation, is it？\nWhat you see is a meteor shower！","Cuco, é doce。\nNão é só uma observação de estrelas, é？\nO que você vê é uma chuva de meteoros！"
"13","けど、すごくいい考えだと思う。\n確かに星がよく見えるし。","But I think it's a really good idea。\nCertainly you can see the stars well。","Mas acho que é uma boa ideia。\nCertamente você pode ver bem as estrelas。"
"14","こ、怖がってなんていません。","I'm not scared of this。","Não tenho medo disso。"
"15","そうか、よかったな。\nなら天体観測でもしてみるか？\nこの時期なら確か――","That's right, I'm glad。 If it's\n, why don't you try astronomical observations？\nCertainly at this time","Isso mesmo, estou feliz。 Se for\n, por que você não tenta observações astronômicas？\nCertamente neste momento"
"16","それに、いざとなったらフータロー君が\n守ってくれるよね。","Besides, in case of emergency, Futaro will protect you from\n, right？","Além disso, em caso de emergência, Futaro irá protegê-lo de\n, certo？"
"17","そんな危険はない、はずだ。","There shouldn't be such a danger。","Não deveria haver esse perigo。"
"18","ですが、夜に出歩くのは危険ではないでしょうか？\n見るなら浜辺ではなく別荘からでも……。","But isn't it dangerous to go out at night？\nIf you look at it, not from the beach, but from a villa……。","Mas não é perigoso sair à noite？\nSe você olhar, não da praia, mas de uma villa……。"
"19","はっ！！　そうだ、あれがあったか！","Huh！！ That's right, was that there！","Huh！！ Isso mesmo, estava lá！"
"20","ほっとけ。\n似合わないのは自分もわかってる。","Leave me alone\nDo you know I don't look good","Me deixe em paz\nVocê sabe que eu não pareço bem"
"21","もー、そこは男らしく『任せろ』って\n言ってほしかったな。","Oh, I wanted you to say\n“Leave it to me” like a man there。","Oh, eu queria que você dissesse\n“Deixe para mim” como um homem lá。"
"22","よーし、なら決定だな！","Okay, then it's a decision！","Ok, então é uma decisão！"
"23","らいは","Raiha","Raiha"
"24","ナイスだぞ、らいは！\nこれならきっとあいつらも満足するはずだ！","That's nice, raiha！\nI'm sure they'll be satisfied with this too！","Isso é bom, raiha！\nTenho certeza de que eles ficarão satisfeitos com isso também！"
"25","フー君の提案なんだから行くに決まってるわ。\nそれに……。","It's decided to go because it's Fu-kun's suggestion。\nto……。","Está decidido ir porque é a sugestão de Fu-kun。\na……。"
"26","ラベル0","Label 0","Rótulo 0"
"27","ラベル1","Label 1","Etiqueta 1"
"28","一花","Ichika","Ichika"
"29","三玖","Sankaku","Sankaku"
"30","中","midst","meio"
"31","二乃","Nino","Nino"
"32","二乃、聞こえてる。","Nino, can you hear me","Nino, consegues ouvir-me？"
"33","五月","May","Maio"
"34","五月さんも行こう？\n星、本当に綺麗なんだよ？","Let's go to Satsuki-san too？\nstars, is it really beautiful？","Vamos para Satsuki-san também？\nestrelas, é realmente lindo？"
"35","出右","Izu","Izu"
"36","出左","Izusa","Izusa"
"37","別に礼を言われることじゃない。\nリーダーとして考えた結果だからな。","It's not something to be thanked for。\nIt's the result of thinking as a leader。","Não é algo para ser agradecido。\nÉ o resultado de pensar como líder。"
"38","別に私は、上杉君に\n守ってもらわなくても問題ないです。","Apart from that, I don't have to ask Uesugi to protect\n。","Além disso, não preciso pedir a Uesugi para proteger\n。"
"39","右外","Right outside","Do lado de fora"
"40","四葉","Yotsuba","Yotsuba"
"41","夜のビーチ……ロマンチックな星空の下……。\nふふ、これはチャンスね！","Night beach……romantic under the stars……。\nHeh, this is an opportunity！","Praia noturna……romântico sob as estrelas……。\nHeh, essa é uma oportunidade！"
"42","大丈夫だよ、みんなで一緒に行くんだから\n暗くても怖くないって。","It's okay, we're all going together, so it's not\neven if it's dark。","Tudo bem, vamos todos juntos, então não é\n, mesmo que esteja escuro。"
"43","天体観測ですか？","Is it astronomical observation？","É observação astronômica？"
"44","左","left","esquerdo"
"45","左外","Sadai","Sadai"
"46","心配ない。\n流星群はそれぞれ見られる時期が決まってるんだよ。","Don't worry\nThere is a fixed time when each meteor shower can be seen。","Não se preocupe\nHá um tempo fixo em que cada chuva de meteoros pode ser vista。"
"47","急にどうしちゃったの？\n夜は勉強っていつも言ってるのに。","What happened all of a sudden？\nEven though I always say study at night。","O que aconteceu de repente？\nMesmo que eu sempre diga estudar à noite。"
"48","昨日の夜ね、窓から星がいっぱい見えたんだ！\nすっごく綺麗だったんだよ！","Yesterday night, I saw a lot of stars from the window！\nIt was so beautiful！","Ontem à noite, vi muitas estrelas da janela！\nFoi tão lindo！"
