"1","…………。","…………。","…………。"
"2","……は？　え？\nい、いきなりなんですか？\n育成シーン？　何のことですか！？","What is ……Eh？\nOh, is it all of a sudden？\nNurturing scenes？ What is it about！？","O que é ……Eh？\nOh, é tudo de repente？\ncenas estimulantes？ Sobre o que é isso！？"
"3","「ＨＰ」は、体力を表しているのだと\n思ってくれたまえ。","Please think\nthat “HP” represents physical strength。","Por favor, pense\nque “HP” representa força física。"
"4","あ、ああ、なんでもない……。","Oh, oh, nothing……。","Oh, oh, nada……。"
"5","お兄ちゃん？　急にどうしたの？","Big brother？ What happened all of a sudden？","Irmão mais velho？ O que aconteceu de repente？"
"6","ここでは、誰が料理を作るのか、\nそして、どの料理を作るのか選択してほしい。","Here, I want you to choose who cooks food,\nand which dish to cook。","Aqui, quero que você escolha quem cozinha comida,\ne qual prato cozinhar。"
"7","この点は気を付けてほしい。","I want you to be careful about this point。","Eu quero que você tenha cuidado com esse ponto。"
"8","この２つのパラメータのいずれかが低い場合、\n一定確率で倒れてしまう。","If either of these two parameters is low, there is a\nprobability that it will collapse。","Se qualquer um desses dois parâmetros for baixo, há uma\nprobabilidade de que ele entre em colapso。"
"9","この３つをバランスよく管理することで、\n娘たちの成績が伸びていくはずだ。","By managing these three in a well-balanced manner, the results of\ndaughters should increase。","Ao gerenciar esses três de maneira bem equilibrada, os resultados de\nfilhas devem aumentar。"
"10","し、失礼しました！\nどうぞ、説明をお願いします！！","And excuse me！\nPlease, please explain！！","E desculpe-me！\nPor favor, explique！！"
"11","そうなれば、君が計画しているテストで\n結果を出せないことになるだろう。","If that happens, you won't get\nresults on the tests you plan to do。","Se isso acontecer, você não obterá\nresultados nos testes que planeja fazer。"
"12","では、上杉君。","Well, Uesugi-kun。","Bem, Uesugi-kun。"
"13","は、はいっ！","Yes, come on！","Sim, vamos lá！"
"14","もっとも、リーダーを申し出ておいて\n体調管理に気を遣えないなど、論外とも言えるがね。","However, it can be said that it is out of the question, such as offering a leader and not being able to worry about\nphysical condition management。","No entanto, pode-se dizer que está fora de questão, como oferecer um líder e não poder se preocupar com o gerenciamento da condição física\n。"
"15","らいは","Raiha","Raiha"
"16","ゲームは、朝、昼、夕と３つの区切りで進行する。","The game proceeds in three divisions: morning, noon, and evening。","O jogo prossegue em três divisões: manhã, meio-dia e noite。"
"17","中","midst","meio"
"18","中野父","Nakano Chu","Nakano Chu"
"19","倒れてしまうと、\nスケジュールを１回分、こなせない。\n加えて、学力が大幅に落ちてしまう。","If you fall down, you won't be able to handle the\nschedule once。\nIn addition, academic ability drops drastically。","Se você cair, não conseguirá lidar com a programação\numa vez。\nAlém disso, a capacidade acadêmica cai drasticamente。"
"20","出左","Izusa","Izusa"
"21","勉強、料理、食材収集。","Studying, cooking, collecting ingredients","Estudar, cozinhar, coletar ingredientes"
"22","右","right","certo"
"23","娘たちが無事に戻って来てくれると、\n私は信じているよ。","\nI believe my daughters will come back safely。","\nAcredito que minhas filhas voltarão em segurança。"
"24","娘たちのパラメータを確認し、\n適切なスケジュールを組み、\nそれぞれの能力をアップさせてほしい。","Check the parameters of the daughters,\nmake an appropriate schedule, and\nimprove each ability。","Verifique os parâmetros das filhas,\nfaça um cronograma apropriado e\nmelhore cada habilidade。"
"25","当然、材料がなければ料理は作れない。\n料理が作れなければ、機嫌とＨＰが\n大幅に下がってしまう。","Of course, you can't cook food without ingredients。\nIf you can't cook food, your mood and HP will be\ndrastically It's going down。","Claro, você não pode cozinhar alimentos sem ingredientes。\nSe você não sabe cozinhar alimentos, seu humor e HP serão\ndrasticamente Está diminuindo。"
"26","次に、料理シーンだ。","Next, it's the cooking scene。","Em seguida, é a cena culinária。"
"27","注意すべきパラメータは、「機嫌」と「ＨＰ」だ。","Parameters to be aware of are “good mood” and “HP”。","Os parâmetros a serem observados são “bom humor” e “HP”。"
"28","特に出来事がなければ、それぞれの時間帯で\n育成シーンと料理シーンが発生することになる。","If there is no particular event,\nnurturing scenes and cooking scenes will occur in each time zone。","Se não houver um evento específico,\ncenas de nutrição e cenas de culinária ocorrerão em cada fuso horário。"
"29","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"30","目キョトン:口キョトン:頬無し","Eyes Kyoton: Mouth Kyoton: No cheeks","Olhos Kyoton: Boca Kyoton: Sem bochechas"
"31","目困惑:口困惑:頬無し","Eyes Puzzled: Mouth Puzzles: No Cheeks","Olhos intrigados: quebra-cabeças de boca: sem bochechas"
"32","目苦笑:口苦笑:頬無し","A bitter smile: a bitter mouth smile: no cheeks","Um sorriso amargo: um sorriso amargo na boca: sem bochechas"
"33","私から、育成シーンのシステムについて説明しよう。","Let me explain the system of the training scene。","Deixe-me explicar o sistema da cena de treinamento。"
