"1","ああ、探してみるか。","Oh, why don't you look for it？","Oh, por que você não procura por isso？"
"2","えへへへ……そうですね。","Ehehehe……That's right。","Ehehehe……Está certo。"
"3","おっ？　おおお？","Whoa？ Oh, huh？","Uau？ Oh, hein？"
"4","これで次の探索場所が決まりましたね。","Now the next search location has been decided, isn't it？","Agora, o próximo local de pesquisa foi decidido, não é？"
"5","さあ上杉さん、この子をどうします？","Come on, Uesugi-san, what are you going to do with this child？","Vamos, Uesugi-san, o que você vai fazer com essa criança？"
"6","そして、桃が私たちの目の前でパッカーン！\n中から可愛い赤ちゃんが出てきました～。","And peaches are packed in front of us！ A cute baby came out from\n~。","E os pêssegos estão embalados na nossa frente！ Um bebê fofo saiu de\n~。"
"7","それに、これは由々しき事態ですから、\n私たちだけの問題じゃありませんよ。","Besides, this is a\nsituation, so it's not just our problem。","Além disso, esta é uma situação\n, então não é apenas nosso problema。"
"8","それはそれは可愛い赤ちゃんです。\nきゃっきゃっと無邪気に微笑んできます。","That's it's a cute baby。\nIt smiles innocently。","É um bebê fofo。\nEle sorri inocentemente。"
"9","そんな！？\n物語が終わっちゃいますよ！？","That's it！？\nIs the story coming to an end！？","É isso aí！？\nA história está chegando ao fim！？"
"10","って、う、上杉さんは\n別にお父さんじゃありませんでしたね。","Oh, Uesugi-san wasn't a dad by\n, right？","Oh, Uesugi-san não era pai por\n, certo？"
"11","でも、フルーツが流れてくるなんて、\nまるで昔話みたいですねー。","However, the fact that fruits are flowing is like an old\n。","No entanto, o fato de que as frutas estão fluindo é como um\nantigo。"
"12","どうした？","What's wrong with you？","O que há de errado com você？"
"13","はい、というわけで、\n思わず拾っちゃうとしましょう。","Yes, so let's say you pick it up\n。","Sim, então digamos que você o pegue\n。"
"14","はーい！","Huh！","Huh！"
"15","みんなで育てましょう！\nお母さんが５人もいれば、すくすく育ちますよね！","Let's raise it together！\nIf there are 5 mothers, they will grow up quickly！","Vamos levantar isso juntos！\nSe houver 5 mães, elas crescerão rapidamente！"
"16","フルーツ？\nということは、上流のどこかに\n果樹があるってことか。","Fruit？\nmeans there is\nfruit tree somewhere upstream Is that what it means","Fruta？\nsignifica que há\nárvore frutífera em algum lugar rio acima É isso que significa"
"17","ラベル0","Label 0","Rótulo 0"
"18","ラベル1","Label 1","Etiqueta 1"
"19","上杉さん、もしおっきな桃が\n流れてきたらどうします？","Mr。 Uesugi, what would you do if you had\nbig peaches？","Uesugi-san, o que você faria se tivesse\npêssegos grandes？"
"20","中","midst","meio"
"21","俺はいい。\nそれより、はしゃぎすぎてこけるなよ。","I'm good\nMore than that, don't play too hilarious。","Estou bem\nMais do que isso, não jogue muito hilário。"
"22","右","right","certo"
"23","四葉","Yotsuba","Yotsuba"
"24","夢のない解答はＮＧです！\nダメですよ、お父さんなんですからもっと……。","The answer without dreams is NG！\nis no good, it's my dad, so more……。","A resposta sem sonho é NG！\nNão, eu sou pai, então……mais。"
"25","川にフルーツが流れてきました！","Fruits have flowed in the river！","Frutas fluíram no rio！"
"26","川の水、冷たくて気持ちいいですよ。\n上杉さんもどうですか？","The water in the river is cold and feels good。\nWhat about Mr。 Uesugi too？","A água do rio é fria e é boa。\nE o Sr。 Uesugi também？"
"27","目ときめき:口ときめき:頬ときめき","Eyes Crush: Mouth Crush: Cheek Crush","Esmagamento de olhos: Esmagamento na boca: esmagamento"
"28","目むくれ:口むくれ:頬無し","Swollen eyes: swollen mouth: no cheeks","Olhos inchados: boca inchada: sem bochechas"
"29","目キョトン:口キョトン:頬無し","Eyes Kyoton: Mouth Kyoton: No cheeks","Olhos Kyoton: Boca Kyoton: Sem bochechas"
"30","目テヘヘ:口テヘヘ:頬テヘヘ","Eyes Tehehe: Mouth Tehehe: Cheeks Tehehe","Olhos Tehehe: Boca Tehehe: Bochechas Tehehe"
"31","目ニヤリ:口ニヤリ:頬無し","Eyes Grins: Mouth Grins: No Cheeks","Olhos sorrisos: boca sorri: sem bochechas"
"32","目困惑:口困惑:頬無し","Eyes Puzzled: Mouth Puzzles: No Cheeks","Olhos intrigados: quebra-cabeças de boca: sem bochechas"
"33","目微笑:口微笑:頬微笑","Eyes smile: mouth smile: cheek smile","Olhos sorriem: sorriso na boca: sorriso na bochecha"
"34","目無表情:口無表情:頬無し","Eyes Expressionless: Mouth Expressionless: No Cheeks","Olhos sem expressão: boca sem expressão: sem bochechas"
"35","目照れ微笑:口照れ微笑:頬照れ微笑","Shy smile: shy smile: shy smile","Sorriso tímido: sorriso tímido: sorriso tímido"
"36","目笑顔:口笑顔:頬無し","Eyes Smile: Mouth Smile: No Cheeks","Sorriso de olhos: sorriso na boca: sem bochechas"
"37","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"38","目驚き:口驚き:頬無し","Eye surprise: mouth surprise: no cheek","Surpresa ocular: surpresa na boca: sem bochecha"
"39","立ち上がり","Rise up","Levante-se"
"40","立ち上がり速","Rise speed","Velocidade de subida"
"41","育てるもなにも、でっかい桃なんて\n流れて来るわけないだろ。","Nothing to grow, big peaches will flow\n。","Nada para crescer, grandes pêssegos fluirão\n。"
"42","見なかったことにする。","I'll decide I didn't see it。","Decidirei que não vi isso。"
"43","警察に届ける。","Report it to the police","Denuncie à polícia"
"44","風太郎","Futaro","Futaro"
"45","（まあ、今日は食材探しを頑張ってたからな。\n　少しくらい休憩してもいいだろ）","（Well, I was trying hard to find ingredients today。 （\nIt's okay to take a break for a little while）","（Bem, eu estava tentando encontrar ingredientes hoje。 （\nTudo bem fazer uma pausa por um tempo）"
